datetime,timestamp,open,high,low,close,volume
2024-04-02 08:00:00,1712044800000,0.3,0.84,0.3,0.562,153003075.63
2024-04-02 08:05:00,1712045100000,0.563,0.565,0.542,0.561,28317242.98
2024-04-02 08:10:00,1712045400000,0.562,0.564,0.541,0.546,19611152.3
2024-04-02 08:15:00,1712045700000,0.545,0.56,0.522,0.525,20340307.56
2024-04-02 08:20:00,1712046000000,0.526,0.552,0.525,0.55,13574833.57
2024-04-02 08:25:00,1712046300000,0.549,0.586,0.548,0.577,20430752.95
2024-04-02 08:30:00,1712046600000,0.579,0.615,0.577,0.602,29167448.31
2024-04-02 08:35:00,1712046900000,0.602,0.631,0.596,0.629,23468833.03
2024-04-02 08:40:00,1712047200000,0.629,0.668,0.625,0.638,31422880.54
2024-04-02 08:45:00,1712047500000,0.637,0.665,0.618,0.621,18259097.41
2024-04-02 08:50:00,1712047800000,0.62,0.638,0.589,0.608,22877488.49
2024-04-02 08:55:00,1712048100000,0.609,0.637,0.608,0.63,14263742.89
2024-04-02 09:00:00,1712048400000,0.63,0.662,0.629,0.635,19590508.94
2024-04-02 09:05:00,1712048700000,0.635,0.653,0.619,0.647,10440972.62
2024-04-02 09:10:00,1712049000000,0.647,0.653,0.64,0.645,7951969.13
2024-04-02 09:15:00,1712049300000,0.645,0.645,0.607,0.629,12984987.73
2024-04-02 09:20:00,1712049600000,0.629,0.632,0.611,0.626,5748489.59
2024-04-02 09:25:00,1712049900000,0.626,0.629,0.618,0.619,3447332.46
2024-04-02 09:30:00,1712050200000,0.618,0.634,0.618,0.631,4858263.22
2024-04-02 09:35:00,1712050500000,0.63,0.644,0.625,0.643,4408117.51
2024-04-02 09:40:00,1712050800000,0.644,0.646,0.621,0.625,8494462.87
2024-04-02 09:45:00,1712051100000,0.625,0.631,0.624,0.625,2786794.93
2024-04-02 09:50:00,1712051400000,0.624,0.625,0.615,0.616,3217917.26
2024-04-02 09:55:00,1712051700000,0.615,0.625,0.596,0.597,11693981.97
2024-04-02 10:00:00,1712052000000,0.597,0.607,0.585,0.604,10464830.46
2024-04-02 10:05:00,1712052300000,0.604,0.608,0.576,0.59,10969196.25
2024-04-02 10:10:00,1712052600000,0.591,0.616,0.581,0.582,6868087.85
2024-04-02 10:15:00,1712052900000,0.582,0.59,0.571,0.585,7621429.45
2024-04-02 10:20:00,1712053200000,0.586,0.6,0.573,0.593,6240512.76
2024-04-02 10:25:00,1712053500000,0.592,0.594,0.57,0.585,7368049.13
2024-04-02 10:30:00,1712053800000,0.585,0.594,0.568,0.572,6614785.89
2024-04-02 10:35:00,1712054100000,0.572,0.578,0.565,0.572,4669169.67
2024-04-02 10:40:00,1712054400000,0.573,0.574,0.56,0.566,4652578.84
2024-04-02 10:45:00,1712054700000,0.567,0.572,0.557,0.559,5343493.3
2024-04-02 10:50:00,1712055000000,0.559,0.573,0.559,0.571,3491781.33
2024-04-02 10:55:00,1712055300000,0.57,0.583,0.568,0.579,4873734.06
2024-04-02 11:00:00,1712055600000,0.58,0.607,0.577,0.603,6660118.12
2024-04-02 11:05:00,1712055900000,0.602,0.614,0.585,0.596,8798781.39
2024-04-02 11:10:00,1712056200000,0.596,0.601,0.576,0.583,4997819.28
2024-04-02 11:15:00,1712056500000,0.583,0.587,0.572,0.577,2688896.3
2024-04-02 11:20:00,1712056800000,0.577,0.579,0.57,0.571,3329176.02
2024-04-02 11:25:00,1712057100000,0.572,0.6,0.57,0.597,5341188.64
2024-04-02 11:30:00,1712057400000,0.596,0.609,0.585,0.589,9901248.6
2024-04-02 11:35:00,1712057700000,0.589,0.593,0.584,0.592,3409556.89
2024-04-02 11:40:00,1712058000000,0.592,0.602,0.586,0.602,3700315.23
2024-04-02 11:45:00,1712058300000,0.602,0.606,0.596,0.606,3753926.48
2024-04-02 11:50:00,1712058600000,0.606,0.626,0.604,0.625,7288714.38
2024-04-02 11:55:00,1712058900000,0.625,0.626,0.607,0.618,4879310.49
2024-04-02 12:00:00,1712059200000,0.618,0.618,0.603,0.612,3887305.08
2024-04-02 12:05:00,1712059500000,0.613,0.635,0.612,0.631,7863205.14
2024-04-02 12:10:00,1712059800000,0.63,0.631,0.615,0.62,3708096.16
2024-04-02 12:15:00,1712060100000,0.619,0.628,0.616,0.616,2684716.31
2024-04-02 12:20:00,1712060400000,0.616,0.617,0.597,0.602,5965918.0
2024-04-02 12:25:00,1712060700000,0.602,0.606,0.593,0.604,4403158.19
2024-04-02 12:30:00,1712061000000,0.604,0.605,0.596,0.602,2662087.12
2024-04-02 12:35:00,1712061300000,0.602,0.617,0.601,0.615,3200797.0
2024-04-02 12:40:00,1712061600000,0.616,0.619,0.606,0.611,3660393.09
2024-04-02 12:45:00,1712061900000,0.61,0.626,0.61,0.623,3459197.31
2024-04-02 12:50:00,1712062200000,0.623,0.623,0.612,0.615,2644008.63
2024-04-02 12:55:00,1712062500000,0.614,0.625,0.613,0.625,2891825.87
2024-04-02 13:00:00,1712062800000,0.625,0.639,0.624,0.639,7305076.95
2024-04-02 13:05:00,1712063100000,0.639,0.646,0.623,0.633,8458967.81
2024-04-02 13:10:00,1712063400000,0.632,0.65,0.632,0.645,6730163.11
2024-04-02 13:15:00,1712063700000,0.645,0.656,0.644,0.65,9586983.57
2024-04-02 13:20:00,1712064000000,0.651,0.655,0.625,0.633,7784510.95
2024-04-02 13:25:00,1712064300000,0.632,0.643,0.631,0.634,4658812.01
2024-04-02 13:30:00,1712064600000,0.635,0.635,0.623,0.628,5136152.47
2024-04-02 13:35:00,1712064900000,0.629,0.65,0.628,0.642,5090527.15
2024-04-02 13:40:00,1712065200000,0.643,0.65,0.636,0.649,3685598.7
2024-04-02 13:45:00,1712065500000,0.65,0.665,0.649,0.663,9320583.09
2024-04-02 13:50:00,1712065800000,0.664,0.699,0.661,0.693,21490929.93
