datetime,timestamp,open,high,low,close,volume
2025-10-13 14:30:00,1760365800000,7.6,11.985,7.6,11.117,792456.54
2025-10-13 14:35:00,1760366100000,11.133,11.5,10.781,10.853,165002.16
2025-10-13 14:40:00,1760366400000,10.863,11.0,10.126,10.13,166011.85
2025-10-13 14:45:00,1760366700000,10.126,10.22,9.066,9.7,252408.11
2025-10-13 14:50:00,1760367000000,9.695,10.343,9.454,9.533,144457.47
2025-10-13 14:55:00,1760367300000,9.533,10.0,9.475,9.813,85625.73
2025-10-13 15:00:00,1760367600000,9.812,10.122,9.486,9.675,93758.91
2025-10-13 15:05:00,1760367900000,9.675,9.8,9.45,9.687,55602.8
2025-10-13 15:10:00,1760368200000,9.673,10.075,9.567,9.771,56642.82
2025-10-13 15:15:00,1760368500000,9.773,10.35,9.58,10.123,83172.2
2025-10-13 15:20:00,1760368800000,10.124,10.35,9.707,9.825,81792.71
2025-10-13 15:25:00,1760369100000,9.821,9.978,9.742,9.82,44873.67
2025-10-13 15:30:00,1760369400000,9.818,10.047,9.617,9.729,45596.25
2025-10-13 15:35:00,1760369700000,9.733,9.779,9.585,9.713,24163.78
2025-10-13 15:40:00,1760370000000,9.71,9.745,9.58,9.722,18732.58
2025-10-13 15:45:00,1760370300000,9.718,9.926,9.707,9.789,29387.02
2025-10-13 15:50:00,1760370600000,9.79,9.85,9.595,9.705,29488.43
2025-10-13 15:55:00,1760370900000,9.707,9.82,9.65,9.735,16738.31
2025-10-13 16:00:00,1760371200000,9.734,9.743,9.52,9.575,22881.19
2025-10-13 16:05:00,1760371500000,9.58,9.72,9.558,9.643,26267.71
2025-10-13 16:10:00,1760371800000,9.642,9.66,9.067,9.377,39393.77
2025-10-13 16:15:00,1760372100000,9.383,9.418,9.025,9.169,43281.04
2025-10-13 16:20:00,1760372400000,9.174,9.434,9.121,9.346,28349.03
2025-10-13 16:25:00,1760372700000,9.345,9.496,9.272,9.345,17591.44
2025-10-13 16:30:00,1760373000000,9.35,9.49,9.2,9.464,22980.17
2025-10-13 16:35:00,1760373300000,9.464,9.836,9.341,9.601,38537.16
2025-10-13 16:40:00,1760373600000,9.609,9.8,9.553,9.751,27793.83
2025-10-13 16:45:00,1760373900000,9.756,10.182,9.652,9.994,74524.66
2025-10-13 16:50:00,1760374200000,9.995,10.071,9.811,9.935,23725.7
2025-10-13 16:55:00,1760374500000,9.933,9.939,9.501,9.632,46778.13
2025-10-13 17:00:00,1760374800000,9.639,9.645,9.406,9.442,23801.67
2025-10-13 17:05:00,1760375100000,9.442,9.827,9.434,9.626,31296.33
2025-10-13 17:10:00,1760375400000,9.626,9.683,9.564,9.642,12566.68
2025-10-13 17:15:00,1760375700000,9.651,9.658,9.504,9.558,9560.41
2025-10-13 17:20:00,1760376000000,9.562,9.586,9.291,9.408,18844.41
2025-10-13 17:25:00,1760376300000,9.409,9.537,9.371,9.49,9253.11
2025-10-13 17:30:00,1760376600000,9.487,9.589,9.371,9.396,12616.48
2025-10-13 17:35:00,1760376900000,9.395,9.431,9.344,9.414,10578.31
2025-10-13 17:40:00,1760377200000,9.414,9.481,9.35,9.384,14434.66
2025-10-13 17:45:00,1760377500000,9.384,9.47,9.36,9.387,8392.8
2025-10-13 17:50:00,1760377800000,9.372,9.425,9.25,9.425,11974.15
2025-10-13 17:55:00,1760378100000,9.425,9.657,9.391,9.575,27312.82
2025-10-13 18:00:00,1760378400000,9.575,9.63,9.434,9.466,21885.33
2025-10-13 18:05:00,1760378700000,9.466,9.472,9.316,9.345,19878.8
2025-10-13 18:10:00,1760379000000,9.342,9.416,9.302,9.398,11261.32
2025-10-13 18:15:00,1760379300000,9.393,9.455,9.322,9.377,6974.97
2025-10-13 18:20:00,1760379600000,9.377,9.415,9.33,9.376,6484.3
2025-10-13 18:25:00,1760379900000,9.367,9.391,9.342,9.359,11471.24
2025-10-13 18:30:00,1760380200000,9.363,9.376,9.246,9.32,18373.24
2025-10-13 18:35:00,1760380500000,9.322,9.439,9.317,9.389,11713.39
2025-10-13 18:40:00,1760380800000,9.393,9.445,9.377,9.426,8391.59
2025-10-13 18:45:00,1760381100000,9.431,9.551,9.407,9.542,7186.12
2025-10-13 18:50:00,1760381400000,9.549,9.588,9.495,9.557,13206.68
2025-10-13 18:55:00,1760381700000,9.557,9.615,9.516,9.592,8183.44
2025-10-13 19:00:00,1760382000000,9.589,9.883,9.517,9.729,46469.96
2025-10-13 19:05:00,1760382300000,9.73,9.772,9.652,9.665,23319.32
2025-10-13 19:10:00,1760382600000,9.666,9.672,9.398,9.49,17088.32
2025-10-13 19:15:00,1760382900000,9.491,9.568,9.428,9.515,11875.03
2025-10-13 19:20:00,1760383200000,9.516,9.596,9.463,9.496,15948.23
2025-10-13 19:25:00,1760383500000,9.496,9.526,9.423,9.483,12164.93
2025-10-13 19:30:00,1760383800000,9.483,9.524,9.48,9.485,4761.17
2025-10-13 19:35:00,1760384100000,9.485,9.574,9.48,9.539,9641.58
2025-10-13 19:40:00,1760384400000,9.537,9.642,9.534,9.605,14176.1
2025-10-13 19:45:00,1760384700000,9.601,9.663,9.506,9.521,17674.27
2025-10-13 19:50:00,1760385000000,9.52,9.549,9.416,9.43,11978.63
2025-10-13 19:55:00,1760385300000,9.432,9.48,9.431,9.455,6396.77
2025-10-13 20:00:00,1760385600000,9.457,9.505,9.35,9.45,16185.79
2025-10-13 20:05:00,1760385900000,9.45,9.582,9.45,9.581,8321.09
2025-10-13 20:10:00,1760386200000,9.58,9.58,9.462,9.469,7030.06
2025-10-13 20:15:00,1760386500000,9.465,9.533,9.4,9.52,6566.48
2025-10-13 20:20:00,1760386800000,9.52,9.558,9.495,9.545,5499.17
2025-10-13 20:25:00,1760387100000,9.545,9.594,9.471,9.475,4236.37
2025-10-13 20:30:00,1760387400000,9.474,9.484,9.42,9.42,4975.41
2025-10-13 20:35:00,1760387700000,9.42,9.517,9.401,9.496,11242.43
2025-10-13 20:40:00,1760388000000,9.493,9.568,9.443,9.495,20508.95
2025-10-13 20:45:00,1760388300000,9.495,9.504,9.44,9.469,3497.78
2025-10-13 20:50:00,1760388600000,9.466,9.584,9.44,9.502,17172.62
2025-10-13 20:55:00,1760388900000,9.504,9.56,9.504,9.55,6120.9
2025-10-13 21:00:00,1760389200000,9.551,9.77,9.527,9.754,26036.05
2025-10-13 21:05:00,1760389500000,9.752,10.0,9.752,9.821,43381.45
2025-10-13 21:10:00,1760389800000,9.816,9.881,9.731,9.82,27825.75
2025-10-13 21:15:00,1760390100000,9.819,9.87,9.675,9.682,16471.0
2025-10-13 21:20:00,1760390400000,9.683,9.73,9.601,9.693,11451.53
2025-10-13 21:25:00,1760390700000,9.682,9.727,9.642,9.702,8293.82
2025-10-13 21:30:00,1760391000000,9.699,9.78,9.562,9.598,13732.25
2025-10-13 21:35:00,1760391300000,9.597,9.602,9.3,9.473,27331.72
2025-10-13 21:40:00,1760391600000,9.476,9.546,9.453,9.546,4169.59
