symbol,period,signal_time,entry_time,exit_time,side,entry_price,exit_price,trade_return
AXS,8,2023-09-24 12:25:00,2023-09-24 12:30:00,2023-09-24 12:45:00,SHORT,4.73,4.66,0.014799154334038113
APT,8,2023-09-25 00:35:00,2023-09-25 00:40:00,2023-09-25 00:50:00,SHORT,5.598,5.5428,0.00986066452304397
APT,8,2023-09-25 01:00:00,2023-09-25 01:05:00,2023-09-25 01:15:00,SHORT,5.5679,5.5239,0.007902440776594334
ARB,8,2023-09-28 16:00:00,2023-09-28 16:05:00,2023-09-28 16:35:00,SHORT,0.8896,0.89,-0.0004496402877698595
AAVE,8,2023-10-03 12:10:00,2023-10-03 12:15:00,2023-10-03 12:35:00,LONG,66.49,66.2,-0.004361558129041842
ARB,8,2023-10-04 00:35:00,2023-10-04 00:40:00,2023-10-04 00:50:00,LONG,0.8624,0.8734,0.012755102040816209
AAVE,8,2023-10-05 05:05:00,2023-10-05 05:10:00,2023-10-05 05:20:00,SHORT,72.03,71.51,0.007219214216298709
AAVE,8,2023-10-05 05:35:00,2023-10-05 05:40:00,2023-10-05 05:50:00,SHORT,71.18,70.91,0.0037932003371735066
AVAX,8,2023-10-07 05:35:00,2023-10-07 05:40:00,2023-10-07 05:50:00,SHORT,11.47,11.49,-0.0017436791630339645
AVAX,8,2023-10-07 06:20:00,2023-10-07 06:25:00,2023-10-07 07:10:00,LONG,10.92,10.78,-0.012820512820512872
AVAX,8,2023-10-09 09:50:00,2023-10-09 09:55:00,2023-10-09 10:05:00,SHORT,9.73,9.79,-0.0061664953751283365
ATOM,8,2023-10-10 07:55:00,2023-10-10 08:00:00,2023-10-10 08:10:00,SHORT,7.21,7.076,0.018585298196948728
ATOM,8,2023-10-10 08:30:00,2023-10-10 08:35:00,2023-10-10 08:50:00,SHORT,7.157,7.163,-0.0008383400866285073
BTC,8,2023-10-16 13:25:00,2023-10-16 13:30:00,2023-10-16 13:40:00,SHORT,29330.53,28859.8,0.016049147424202687
GRT,8,2023-10-16 13:45:00,2023-10-16 13:50:00,2023-10-16 14:00:00,SHORT,0.0817,0.0822,-0.006119951040391682
HBAR,8,2023-10-18 01:25:00,2023-10-18 01:30:00,2023-10-18 01:40:00,SHORT,0.0489,0.0488,0.0020449897750510417
AAVE,8,2023-10-19 13:45:00,2023-10-19 13:50:00,2023-10-19 14:00:00,SHORT,65.0,64.64,0.0055384615384615294
AAVE,8,2023-10-20 09:55:00,2023-10-20 10:00:00,2023-10-20 10:20:00,SHORT,69.07,69.42,-0.0050673230056465695
APT,8,2023-10-21 13:30:00,2023-10-21 13:35:00,2023-10-21 14:00:00,SHORT,5.6229,5.7131,-0.016041544398797826
LINK,8,2023-10-21 13:50:00,2023-10-21 13:55:00,2023-10-21 14:05:00,SHORT,8.365,8.341,0.0028690974297669947
APT,8,2023-10-21 14:10:00,2023-10-21 14:15:00,2023-10-21 14:25:00,SHORT,5.7443,5.6686,0.01317828107863453
LINK,8,2023-10-21 14:15:00,2023-10-21 14:20:00,2023-10-21 14:35:00,SHORT,8.598,8.625,-0.003140265177948272
LINK,8,2023-10-21 14:45:00,2023-10-21 14:50:00,2023-10-21 15:10:00,SHORT,8.642,8.645,-0.0003471418653089694
LINK,8,2023-10-21 15:20:00,2023-10-21 15:25:00,2023-10-21 16:05:00,SHORT,8.704,9.1392,-0.05
LINK,8,2023-10-21 16:05:00,2023-10-21 16:10:00,2023-10-21 16:20:00,SHORT,9.027,8.918,0.012074886451755843
LINK,8,2023-10-21 16:30:00,2023-10-21 16:35:00,2023-10-21 17:00:00,SHORT,8.93,8.897,0.003695408734602405
AAVE,8,2023-10-22 04:20:00,2023-10-22 04:25:00,2023-10-22 04:35:00,SHORT,73.71,73.56,0.0020350020350019195
AAVE,8,2023-10-22 05:35:00,2023-10-22 05:40:00,2023-10-22 05:50:00,SHORT,78.0,76.29,0.021923076923076844
AAVE,8,2023-10-22 06:10:00,2023-10-22 06:15:00,2023-10-22 06:25:00,SHORT,78.08,77.54,0.0069159836065572754
APT,8,2023-10-22 07:15:00,2023-10-22 07:20:00,2023-10-22 07:40:00,SHORT,6.0801,6.066,0.002319040805249914
APT,8,2023-10-22 08:25:00,2023-10-22 08:30:00,2023-10-22 08:40:00,LONG,5.8662,5.934,0.011557737547304913
LINK,8,2023-10-22 22:45:00,2023-10-22 22:50:00,2023-10-22 23:05:00,SHORT,10.033,10.058,-0.0024917771354530404
LINK,8,2023-10-23 01:05:00,2023-10-23 01:10:00,2023-10-23 01:20:00,LONG,10.61,10.584,-0.002450518378887823
LINK,8,2023-10-23 01:35:00,2023-10-23 01:40:00,2023-10-23 02:00:00,LONG,10.792,10.895,0.00954410674573756
