symbol,period,test_start,test_end,total_return,num_trades,test_r2,test_corr,test_direction_acc
AAVE,8,2023-09-23 00:00:00,2023-12-21 00:00:00,0.17439895029756203,39,-1.2556216246739638e-05,0.013883390712388253,0.5047994381145622
ADA,8,2023-09-23 00:00:00,2023-12-21 00:00:00,0.107388995304041,28,0.0022619276030996227,0.07629276690840223,0.49196191665366007
ALGO,8,2023-09-23 00:00:00,2023-12-21 00:00:00,0.11339438525055301,14,0.0009113704519702059,0.044610411981827504,0.47167160917746215
APT,8,2023-09-23 00:00:00,2023-12-21 00:00:00,0.12824787050739417,24,0.0013506358300455767,0.04980945492053121,0.5094818167629156
ARB,8,2023-09-23 00:00:00,2023-12-21 00:00:00,0.05268983905376268,27,0.0007638576040506218,0.03300286997074572,0.5076088653035742
ATOM,8,2023-09-23 00:00:00,2023-12-21 00:00:00,0.0759941991837303,19,0.00019223822037583993,0.019392846523976454,0.4968784142344311
AVAX,8,2023-09-23 00:00:00,2023-12-21 00:00:00,0.6018244665439929,134,0.001195024711049486,0.07313099464135765,0.4848603090369908
AXS,8,2023-09-23 00:00:00,2023-12-21 00:00:00,0.07318182117356664,33,0.0015664968305663107,0.05342146644243192,0.4481426564694865
BNB,8,2023-09-23 00:00:00,2023-12-21 00:00:00,-0.027997329510896174,6,0.00011984569285927726,0.016954902732727685,0.4815436241610738
BTC,8,2023-09-23 00:00:00,2023-12-21 00:00:00,0.04896259544896897,4,0.00017161869140225328,0.03860430377974434,0.5304354612142969
DOGE,8,2023-09-23 00:00:00,2023-12-21 00:00:00,0.10391277360643736,15,0.0011296779689865533,0.043964407051983956,0.5049164975807711
DOT,8,2023-09-23 00:00:00,2023-12-21 00:00:00,0.15530479679275344,15,0.0010009761445083365,0.0460568398604631,0.4962931169033869
EOS,8,2023-09-23 00:00:00,2023-12-21 00:00:00,0.08791263727449183,6,0.0022668953626375776,0.07923266327588475,0.44104104885281725
ETH,8,2023-09-23 00:00:00,2023-12-21 00:00:00,0.01617129866939382,2,0.0007159604853701484,0.03634691615688472,0.5179491181520213
FIL,8,2023-09-23 00:00:00,2023-12-21 00:00:00,0.16877449928223687,30,0.0010187511419675888,0.046489179049427475,0.49773685031996256
GRT,8,2023-09-23 00:00:00,2023-12-21 00:00:00,0.23236753612646877,32,0.001569841985658682,0.06696827507690734,0.46796472608084905
HBAR,8,2023-09-23 00:00:00,2023-12-21 00:00:00,0.04109187199901854,14,0.0019318453470842378,0.0751419010477185,0.43522709536444515
ICP,8,2023-09-23 00:00:00,2023-12-21 00:00:00,0.08666962620378005,58,0.001044667102818586,0.04991301076110151,0.49984392071172157
INJ,8,2023-09-23 00:00:00,2023-12-21 00:00:00,0.3074756063325095,158,-0.0014774244857609364,0.0166453910911966,0.5091696581863586
LINK,8,2023-09-23 00:00:00,2023-12-21 00:00:00,0.06656312882638749,38,0.0006375927798640824,0.035484121550456584,0.5135398782581552
LTC,8,2023-09-23 00:00:00,2023-12-21 00:00:00,0.047828708739424464,3,0.0016484889986516649,0.04588324692732989,0.5008194162634618
